producto,nutriscore,nova,perfil_aditivos,ns_num,cluster_final
Sidi Ali,a,1,0,1,1
Perly,a,3,0,1,0
Eau minérale naturelle,a,1,0,1,1
Sidi Ali,a,1,0,1,1
Lait,b,3,0,2,0
Jben,d,4,0,4,3
isabelle,a,1,0,1,1
Prince Goût Chocolat au blé complet,e,4,0,5,3
uht jaouda 1L,b,1,0,2,1
Ain Saïss,a,1,0,1,1
اكوافينا,a,1,0,1,1
,a,1,0,1,1
6111035000027,a,1,0,1,1
Pain De Mie Bio,c,4,0,3,0
Cream cheese,a,3,0,1,0
Eau minéral naturelle,a,1,0,1,1
Edelbitter-Schokolade,d,3,0,4,3
Cocacola original  500,e,4,3,5,2
Desconocido,b,1,0,2,1
Skyr nature 0%,a,1,0,1,1
Yaourt nature,b,3,0,2,0
اكوافينا,b,1,0,2,1
Pain de mie grandes tranches Seigle & Graines 500g,a,4,0,1,0
cruesly mélange de noix,b,4,0,2,0
Tartines craquantes au sarrasin imp,a,3,0,1,0
Sésame,c,4,0,3,0
Excellence 70% cacao noir intense,e,3,0,5,3
Nutella,e,4,0,5,3
Excellence 85% cacao,e,3,0,5,3
Pur beurre de cacahuète,b,1,0,2,1
Cheddar,d,4,0,4,3
Rigoni di Asiago - Nocciolata bio,e,4,0,5,3
Nutella,e,4,0,5,3
Oulmes natural carbonated water,a,1,0,1,1
Tonik,e,3,0,5,3
Fourrés Chocolat Noir,d,4,0,4,3
Pain de mie american sandwich complet sans sucres ajoutés 600g,b,4,0,2,0
KRISPROLLS Complets,a,4,0,1,0
Brioche Tranchée Bio 400g,c,4,0,3,0
Cappy PULPY,e,4,3,5,2
Geröstete Mandel Ohne Zucker,b,4,0,2,0
Alvalle Gazpacho l'original,a,3,0,1,0
14 Maxi Tranches complet sans sucres ajoutés,a,4,0,1,0
Goldium crémeux,d,4,0,4,3
Ciel 33cl,a,1,0,1,1
Pain de mie Bio grandes tranches céréales & graines 500g,c,4,0,3,0
AUTHENTIQUE,a,3,0,1,0
Ain Atlas,a,1,0,1,1
Fibres,a,3,0,1,0
Nocciolata,e,4,0,5,3
Le Lait demi écrémé,b,1,0,2,1
Menguy's Peanut 100%,a,1,0,1,1
,a,1,0,1,1
Croustillant Chocolat,c,4,0,3,0
PESTO alla GENOVESE,e,4,0,5,3
Frommage fondu,d,3,0,4,3
Pomme Noisette,b,4,0,2,0
Margarine bio doux tartine & cuisson,c,4,0,3,0
Ciel,b,1,0,2,1
jaouda Cremy,a,4,0,1,0
Figue & son,b,4,0,2,0
Tartine Doux,c,4,0,3,0
Assil vanille,c,1,0,3,1
Ain Saiss Eau Minerale Naturelle,a,1,0,1,1
Jebli,d,4,0,4,3
Pâte à tartiner noisettes et cacao,e,4,0,5,3
Coke Zero,c,4,3,3,2
Carré Frais,b,3,0,2,0
tartine de campagne,c,4,0,3,0
,d,1,0,4,1
ain saiss 50cl,a,1,0,1,1
كيفير,b,1,0,2,1
Coca-Cola,e,4,3,5,2
Jamila رايبي,e,4,0,5,3
Zero sugar free Fibre,d,4,0,4,3
Ain Atlas,a,1,0,1,1
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,d,3,0,4,3
,c,1,0,3,1
PESTO ROSSO,e,4,0,5,3
CRISTALINE Eau De Source 0.5L,a,1,0,1,1
Beurre bio cacahuète,a,1,0,1,1
Flocons d'avoine,a,1,0,1,1
Be Nuts ! - Pâte à tartiner Cacahuète,c,4,0,3,0
Nutella,e,4,0,5,3
kéfir nature b6 b12  699g,b,1,0,2,1
Biscuit raisins,c,4,0,3,0
le blanc nature 900g araai,a,3,0,1,0
Henry’s,e,4,0,5,3
"Muesli Raisin, Figue, Abricot",a,3,0,1,0
NESTLE CHOCAPIC Céréales 375g,b,4,0,2,0
Nutella Plant-Based,e,4,0,5,3
Almonds natural,a,1,0,1,1
Original,e,4,0,5,3
Шоколад 85% какаова маса,d,4,0,4,3
Special Muesli 30% fruits & noix,a,1,0,1,1
Mayonnaise recette originale,d,4,3,4,2
Chicoree soluble nature bio 100g,e,1,0,5,1
,c,4,0,3,0
Chips sel de mer et poivre noir,c,4,0,3,0
Eau,a,1,0,1,1
Lasagne all'uovo,a,1,0,1,1
Afia,c,2,0,3,1
vitalya,a,1,0,1,1
,a,1,0,1,1
Margarine omega 3 doux,c,4,0,3,0
Oméga 3,c,4,0,3,0
Bio crackers graines de chia et flocons d’avoine,c,3,0,3,0
SALIM LBEN 440G,b,4,0,2,0
La bûche fondante,d,3,0,4,3
"BN - Casse Croute Biscuits, 375g",d,4,0,4,3
Pâte à tartiner,e,4,0,5,3
540093179616,c,1,0,3,1
Le pain au Seigle,b,4,0,2,0
chocolat 90% Perou,d,3,0,4,3
NESTLÉ DESSERT Noir 2x205g,e,4,0,5,3
Chips de Sarrasin au Sel de Guerande,b,3,0,2,0
mayonnaise de Dijon,c,4,0,3,0
Huile d'olive,b,2,0,2,1
NESTLÉ DESSERT Corsé 200g,e,4,0,5,3
Maille Mayonnaise,d,4,0,4,3
"Bonne Maman - Quatre Quarts, 500g (17.6oz)",e,4,0,5,3
la Brandade à la Morue,b,4,0,2,0
Les Fourrées  -  Beurre de Cacahuète & Cacao,b,3,0,2,0
Douceur fromage frais,d,4,0,4,3
Rostlinná slanina,d,4,0,4,3
Chocolat Noir 92% cacao,e,4,0,5,3
Spéculoos Biscoff,e,3,0,5,3
Tartines Craquantes Multi-Céréales,b,3,0,2,0
Ftoury Fromage Blanc,b,4,0,2,0
Pain de mie american sandwich nature sans sucres ajoutés maxi 825g,c,4,0,3,0
عصري بناشي,e,4,0,5,3
Lentilles cuisinées à l'Auvergnate,c,4,0,3,0
le beurre tendre,e,2,0,5,3
Baiocchi nocciola snack mb,d,4,0,4,3
Petits fours financiers,e,3,0,5,3
Muesli Chocolat-Noisette,a,4,0,1,0
Chocolate Negro,e,4,0,5,3
MAGGI Bouillon KUB BIO Légumes 80g,c,4,0,3,0
Huille,b,1,0,2,1
Vittel,a,1,0,1,1
Pan 100% Integral,a,4,0,1,0
Natural Coconut Cream,c,4,0,3,0
Ghayt,a,1,0,1,1
Crème sous pression à la vanille 250g,e,4,0,5,3
St Hubert Omega 3 Sans Huile de Palme 500g Doux,d,4,0,4,3
Compote Pomme Nature,a,1,0,1,1
fuzetea saveur pêche 1l25,d,4,0,4,3
8 Tortillas - Blé nature,c,4,0,3,0
Pan Fibra & Sésamo,a,3,0,1,0
Sauce Soja,e,3,0,5,3
Krisprolls,d,4,0,4,3
Tartare végétal ail & fines herbes,b,4,0,2,0
Miel crémeux français & responsable,e,2,0,5,3
Finn Crisp,b,3,0,2,0
Monaco Emmental,e,4,0,5,3
Pain complet,b,4,0,2,0
العين,a,1,0,1,1
Biscuit fondant choco noir sans sucres ajoutés,c,4,0,3,0
Yaourt saveur myrtille sauvage,c,4,0,3,0
Filet de poulet 🐔 rôti,b,4,0,2,0
Dark chocolate,d,3,0,4,3
Gourmand & Végétal Brassé Nature,c,4,0,3,0
Tofu fumé,a,4,0,1,0
Grand Arôme 32% de Cacao,e,4,0,5,3
Bol Bol Ketchup,e,4,0,5,3
Filet de maquereaux grillés nature,d,3,0,4,3
Emmental râpé,d,3,0,4,3
Queso crema suave,d,4,0,4,3
HERTA Blanc Poulet Nature conservation sans nitrite x4 -140g,b,4,0,2,0
"Ketchup zéro sel ajouré, 70% moins de sucres",a,4,0,1,0
Miel de fleurs,d,2,0,4,3
"Ravioli au tofu, tomates, basilic",b,3,0,2,0
Fourrés chocolat lait noisettes,e,4,0,5,3
Chergui Lait,b,1,0,2,1
Moelleux chocolat,c,4,0,3,0
Maille mout fin gour 320g,e,4,0,5,3
Tomato Ketchup,d,3,0,4,3
Crunchy Oats & Dark Chocolate,d,4,0,4,3
Pringles Sare,d,4,0,4,3
filets de maquereaux à l'huile végétale,b,3,0,2,0
Orange citron,c,4,0,3,0
Les tranches végé haricots rouges,c,4,0,3,0
Excellence Lait Extra Fondant,e,4,0,5,3
Double concentré de tomates,a,3,0,1,0
nuggets soja,a,4,0,1,0
Chocolat noir Bio 70%,e,3,0,5,3
Digestive Avena,d,4,0,4,3
Skyr,a,1,0,1,1
Biscottes,c,4,0,3,0
Pain complet seigle,b,3,0,2,0
Biscuits nappés de chocolat noir,d,4,0,4,3
Bul'tropicale,b,4,0,2,0
Organic 70% Dark Chocolate Bar,e,3,0,5,3
FETA AOP GRECQUE,d,3,0,4,3
Paahdettu maapähkinä,a,3,0,1,0
Margarine patissière,d,4,0,4,3
Pâte à tartiner praliné,c,3,0,3,0
HERTA Pâte à Pizza Fine et Rectangulaire 390g,c,4,0,3,0
Fourrés Chocolat🍫,e,4,0,5,3
Palmito L'original,e,4,0,5,3
Tartine & Cuisson 100% végétal,c,4,0,3,0
Lait demi-écrémé Stérilisé UHT,b,1,0,2,1
Danup fraise,c,1,0,3,1
Velouté,c,1,0,3,1
"Golden Wheat Swedish Krisprolls, 7.9oz (225g)",c,3,0,3,0
4 Baguettes viennoises 340g,c,4,0,3,0
NESTLE LION Céréales 400g,c,4,0,3,0
HEPAR,a,1,0,1,1
Lotus Biscoff,d,3,0,4,3
margarine la prairie 225g,c,4,0,3,0
Filets de maquereaux vin blanc & aromates,b,3,0,2,0
Suprêmes panés végétaux et gourmands,a,4,0,1,0
Moutarde à l’ancienne,e,4,0,5,3
Fusilli 98,a,1,0,1,1
Čokoláda na vaření,e,4,0,5,3
Amora,d,4,0,4,3
Tipiak Graine Parfumé,a,4,0,1,0
Caprice des Dieux,d,3,0,4,3
Viva lait 1/2 écrémé,b,1,0,2,1
faisselle,b,3,0,2,0
Saveir Sel & Vinaigre,c,3,0,3,0
Orangensaft,c,1,0,3,1
Yawmi velouté pistache,c,1,0,3,1
Sidi Harazem,a,1,0,1,1
PET 2L OASIS TROPICAL,d,4,0,4,3
Desconocido,e,4,0,5,3
Elle & vire creme fraiche epaisse legere 12%mg poche 328g,d,3,0,4,3
Pain Burger Géant,c,4,0,3,0
Fiocchi di avena integrali,a,1,0,1,1
Crème de coco légère,d,4,0,4,3
Poulain,d,4,0,4,3
Cuetara Digesta Light 200G Marie Cookies,c,4,0,3,0
"Muesli con quinoa, chía y chocolate negro",c,4,0,3,0
Lio huile de table,b,1,0,2,1
Tartines Craquantes Sarrasin,a,1,0,1,1
Roudor,e,3,0,5,3
шок.тоблерон с дробл.орехом,e,4,0,5,3
Mon p'tit plaisir,d,4,0,4,3
SKYR,a,1,0,1,1
Pain de mie nature,c,4,0,3,0
Paysan Breton - Le Fromage Fouetté Madame Loïk - Echalote Ciboulette,d,3,0,4,3
Cereales special K original,c,3,0,3,0
Poms 2,e,4,3,5,2
Tomato Ketchup,d,3,0,4,3
Nesquik,d,4,0,4,3
Ricotta & Épinards,c,4,0,3,0
Galettes boulghour parmesan & tomates confites,c,4,0,3,0
Double concentre de tomate,a,3,0,1,0
EXTRA VIRGIN OLIVE OIL,b,2,0,2,1
Kiri® Crème 24 portions,d,4,0,4,3
HERTA Lardons nature conservation sans nitrite - 2x75g,e,4,0,5,3
Gnocchi aux pommes de terre,c,3,0,3,0
Quinoa Gourmand,a,1,0,1,1
Myrtille Intense,d,4,0,4,3
Schweppes Agrum',e,4,3,5,2
Star moutarde,e,4,0,5,3
Pain de mie complet,c,4,0,3,0
Melloeux Fruit Rouges,c,4,0,3,0
,c,4,0,3,0
Skyr framboise,b,3,0,2,0
Capri choco,e,4,0,5,3
,e,4,0,5,3
Biscottes Complètes bio,c,4,0,3,0
Pecan Nuts,a,1,0,1,1
Houmous sésame,b,3,0,2,0
Ratatouille à la provençale,a,3,0,1,0
Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl,d,1,0,4,1
crème cuisson,d,4,0,4,3
Oleor,c,2,0,3,1
